,Name_JP,Team_JP,predicted_BA_range,predicted_HR_range,predicted_OPS_range
44,近藤 健介,ソフトバンク,.270-.279,5-9本,.850-.899
45,小園 海斗,広島,.280-.289,0-4本,.700-.749
46,熊谷 敬宥,阪神,.250-.259,10-14本,.650-.699
47,紅林 弘太郎,オリックス,.260-.269,10-14本,.700-.749
48,栗原 陵矢,ソフトバンク,.260-.269,10-14本,.700-.749
49,黒川 史陽,楽天,.260-.269,0-4本,.550-.599
50,桑原 将志,ＤｅＮＡ,.260-.269,0-4本,.700-.749
51,京田 陽太,ＤｅＮＡ,.240-.249,0-4本,.600-.649
52,前川 右京,阪神,.260-.269,0-4本,.700-.749
53,牧 秀悟,ＤｅＮＡ,.300-.309,10-14本,.800-.849
54,牧原 大成,ソフトバンク,.250-.259,0-4本,.600-.649
55,万波 中正,日本ハム,.260-.269,20-24本,.750-.799
56,丸 佳浩,巨人,.250-.259,10-14本,.700-.749
57,増田 陸,巨人,.220-.229,0-4本,.550-.599
58,松本 剛,日本ハム,.260-.269,0-4本,.600-.649
59,松尾 汐恩,ＤｅＮＡ,.280-.289,5-9本,.700-.749
60,三森 大貴,ＤｅＮＡ,.260-.269,0-4本,.550-.599
61,嶺井 博希,ソフトバンク,.240-.249,5-9本,.650-.699
62,宮﨑 敏郎,ＤｅＮＡ,.250-.259,0-4本,.800-.849
63,水野 達稀,日本ハム,.270-.279,5-9本,.750-.799
64,水谷 瞬,日本ハム,.270-.279,5-9本,.750-.799
65,茂木 栄五郎,ヤクルト,.240-.249,0-4本,.650-.699
66,エレフリス・モンテロ,広島,.240-.249,5-9本,.500-.549
67,森 友哉,オリックス,.270-.279,0-4本,.750-.799
68,森下 翔太,阪神,.270-.279,10-14本,.700-.749
69,宗 佑磨,オリックス,.270-.279,0-4本,.700-.749
70,宗山 塁,楽天,.240-.249,0-4本,.550-.599
71,村林 一輝,楽天,.200-.209,0-4本,.600-.649
72,村松 開人,中日,.260-.269,0-4本,.500-.549
73,長岡 秀樹,ヤクルト,.280-.289,0-4本,.600-.649
74,中川 圭太,オリックス,.260-.269,5-9本,.650-.699
75,中村 晃,ソフトバンク,.230-.239,0-4本,.650-.699
76,中村 奨成,広島,.310-.319,5-9本,.700-.749
77,中村 悠平,ヤクルト,.200-.209,0-4本,.500-.549
78,中野 拓夢,阪神,.270-.279,0-4本,.600-.649
79,中島 大輔,楽天,.270-.279,0-4本,.550-.599
80,中山 礼都,巨人,.270-.279,5-9本,.700-.749
81,タイラー・ネビン,西武,.260-.269,10-14本,.650-.699
82,西川 愛也,西武,.270-.279,5-9本,.650-.699
83,西川 未露,ロッテ,.240-.249,0-4本,.650-.699
84,西川 龍馬,オリックス,.260-.269,0-4本,.650-.699
85,西野 真弘,オリックス,.270-.279,0-4本,.700-.749
86,野間 峻祥,広島,.250-.259,0-4本,.650-.699
87,野村 勇,ソフトバンク,.270-.279,5-9本,.750-.799
88,野村 佑希,日本ハム,.270-.279,10-14本,.650-.699
89,小幡 竜平,阪神,.240-.249,0-4本,.650-.699
90,小川 龍成,ロッテ,.260-.269,0-4本,.600-.649
91,小郷 裕哉,楽天,.280-.289,5-9本,.700-.749
92,岡 大海,ロッテ,.270-.279,0-4本,.650-.699
93,岡林 勇希,中日,.270-.279,0-4本,.650-.699
94,大森 美凛,広島,.240-.249,0-4本,.650-.699
95,太田 光,楽天,.210-.219,0-4本,.500-.549
96,太田 椋,オリックス,.240-.249,0-4本,.650-.699
97,大山 悠輔,阪神,.260-.269,10-14本,.750-.799
98,ホセ・オスナ,ヤクルト,.290-.299,5-9本,.700-.749
99,フランミル・レイエス,日本ハム,.290-.299,15-19本,.800-.849
100,坂倉 将吾,広島,.250-.259,5-9本,.650-.699
101,坂本 誠志郎,阪神,.220-.229,0-4本,.650-.699
102,坂本 勇人,巨人,.270-.279,10-14本,.700-.749
103,佐野 恵太,ＤｅＮＡ,.270-.279,5-9本,.700-.749
104,ドミンゴ・サンタナ,ヤクルト,.270-.279,0-4本,.700-.749
105,佐々木 泰,広島,.250-.259,0-4本,.550-.599
106,佐藤 輝明,阪神,.240-.249,25-29本,.750-.799
107,佐藤 直樹,ソフトバンク,.270-.279,10-14本,.750-.799
108,佐藤 都志也,ロッテ,.240-.249,0-4本,.650-.699
109,周東 佑京,ソフトバンク,.250-.259,0-4本,.650-.699
110,ネフタリ・ソト,ロッテ,.250-.259,15-19本,.650-.699
111,末包 昇大,広島,.240-.249,5-9本,.700-.749
112,杉本 裕太郎,オリックス,.260-.269,10-14本,.750-.799
113,リチャード,巨人,.240-.249,10-14本,.850-.899
114,鈴木 大地,楽天,.270-.279,0-4本,.700-.749
115,高部 瑛斗,ロッテ,.270-.279,0-4本,.600-.649
116,滝澤 夏央,西武,.240-.249,0-4本,.600-.649
117,田宮 裕涼,日本ハム,.280-.289,0-4本,.600-.649
118,田中 幹也,中日,.240-.249,0-4本,.600-.649
119,辰己 涼介,楽天,.240-.249,0-4本,.550-.599
120,寺地 隆成,ロッテ,.240-.249,0-4本,.650-.699
121,友杉 篤輝,ロッテ,.260-.269,0-4本,.550-.599
122,頓宮 裕真,オリックス,.280-.289,10-14本,.750-.799
123,外崎 修汰,西武,.230-.239,0-4本,.600-.649
124,筒香 嘉智,ＤｅＮＡ,.190-.199,25-29本,.850-.899
125,内山 壮真,ヤクルト,.290-.299,0-4本,.700-.749
126,上林 誠知,中日,.270-.279,5-9本,.600-.649
127,上田 希由翔,ロッテ,.300-.309,10-14本,.650-.699
128,海野 隆司,ソフトバンク,.220-.229,0-4本,.500-.549
129,ルーク・ボイト,楽天,.270-.279,5-9本,.600-.649
130,ジェイソン・ボスラー,中日,.270-.279,20-24本,.750-.799
131,若林 楽人,巨人,.280-.289,5-9本,.650-.699
132,若月 健矢,オリックス,.230-.239,0-4本,.600-.649
133,渡邊 佳明,楽天,.240-.249,0-4本,.650-.699
134,渡邉 聖也,西武,.270-.279,15-19本,.800-.849
135,度会 隆輝,ＤｅＮＡ,.260-.269,10-14本,.650-.699
136,山田 哲人,ヤクルト,.230-.239,15-19本,.800-.849
137,山縣 秀,日本ハム,.290-.299,5-9本,.550-.599
138,山川 穂高,ソフトバンク,.260-.269,30-34本,.700-.749
139,山本 祐大,ＤｅＮＡ,.280-.289,0-4本,.700-.749
140,山本 大斗,ロッテ,.260-.269,15-19本,.700-.749
141,山本 泰寛,中日,.270-.279,0-4本,.550-.599
142,山村 崇嘉,西武,.240-.249,0-4本,.600-.649
143,柳町 達,ソフトバンク,.260-.269,0-4本,.750-.799
144,矢野 雅哉,広島,.240-.249,0-4本,.600-.649
145,安田 尚憲,ロッテ,.270-.279,0-4本,.500-.549
146,矢澤 宏太,日本ハム,.230-.239,0-4本,.650-.699
147,吉川 尚輝,巨人,.200-.209,0-4本,.700-.749
